trial,reward,learning_rate,batch_size,buffer_size,gamma,target_update_interval,learning_starts,exploration_fraction,exploration_final_eps
0,187.00,0.0005611516415334506,32,100000,0.9600513896731466,1000,500,0.13253202943404524,0.0373818018663584
1,94.40,0.0011207606211860567,128,100000,0.978439078543162,1000,1000,0.0792732168433758,0.0953996983528
2,44.55,0.00853618986286683,32,100000,0.9034354132594103,100,2000,0.13318450498648718,0.09726261649881028
3,111.40,0.0035503048581283078,32,50000,0.9325005000432501,1000,2000,0.1134159012386432,0.08219772826786358
4,136.35,0.00014096175149815865,32,10000,0.977049907633926,500,500,0.07860125762871065,0.0379884089544096
5,135.45,0.0004470608546778491,128,100000,0.9560715920371927,100,500,0.06414313355903041,0.06727693701374024
6,173.95,0.0004253162363790873,64,10000,0.9289461701460855,500,1000,0.13395652649871614,0.090330309864098
7,85.40,0.0011986281799901185,64,100000,0.9859869852673088,500,2000,0.4743093667606336,0.03908826388186797
8,166.45,0.0010903884523201113,128,50000,0.9284555653883091,500,2000,0.1578028508001376,0.02304053848821008
9,124.65,0.0009525889086580769,32,50000,0.9631673524762986,100,500,0.06834881369964377,0.06318036488694177
10,18.00,0.00012150104649007403,256,100000,0.9931358051569876,1000,500,0.25483554269256475,0.011624446475220152
11,140.70,0.0003748224111698842,64,10000,0.9355735132111659,500,1000,0.2363792551588095,0.04713362133770416
12,313.00,0.0005000127112747203,64,10000,0.9101797165356441,1000,1000,0.3972488644656222,0.07811560875984591
13,121.50,0.0003556074366054785,256,10000,0.9018492993269974,1000,1000,0.40786941036530866,0.07504883274651104
14,212.20,0.00021737917031087624,64,10000,0.9460943434647401,1000,1000,0.40253491645027106,0.055189852866526064
15,309.15,0.00018141081337956274,64,10000,0.9165390725103992,1000,1000,0.34779659657778367,0.056511080358071814
16,91.70,0.00020955306222768713,64,10000,0.9157837443802647,1000,1000,0.3557391152437242,0.07855184311063455
17,122.70,0.002015616182836042,64,10000,0.9168199299811969,1000,1000,0.3159307888406848,0.06228796572306568
18,57.70,0.00010192409370191779,64,10000,0.9173430210736591,1000,1000,0.4996127428379181,0.053866111316364325
19,108.60,0.00020961825528222807,64,10000,0.9444071901821204,1000,1000,0.41844057713695804,0.08341568535785884
20,163.70,0.0006289111532007969,256,10000,0.9109789966793362,100,1000,0.3062506569358881,0.07481509254732299
21,155.50,0.00022782363541506487,64,10000,0.9457429765502579,1000,1000,0.39567614428945946,0.05253579808859879
22,214.75,0.0002353596288831579,64,10000,0.9241169891132246,1000,1000,0.35858066740618005,0.06612225705454872
23,271.70,0.00029719249319160566,64,10000,0.920460519169927,1000,1000,0.35037871296669826,0.07017041192106917
24,27.05,0.0006747716169120554,64,10000,0.9073705831367415,1000,1000,0.4503003887597474,0.07012754888435589
25,156.05,0.0001636392751561041,64,50000,0.9225540823907301,1000,1000,0.22189982530579197,0.0875810121026862
26,265.15,0.0003126335617761764,64,10000,0.9113449837913368,1000,1000,0.3531705051576728,0.058533060098376
27,475.90,0.00028862808617394805,64,10000,0.9395869927284984,1000,1000,0.3208746202930086,0.04492076026094095
28,226.80,0.0007892613667908664,128,10000,0.9387168006988281,1000,2000,0.29395791517392333,0.045537373163265046
29,136.50,0.0005194226358974324,256,50000,0.9608687937515269,100,1000,0.2772561584497461,0.021504473318369632
30,468.55,0.0022600825741225595,64,10000,0.9005207200265922,1000,500,0.19459809938313652,0.0259762665225023
31,118.10,0.0016850244590495406,64,10000,0.9013649782054353,1000,500,0.18848817621529185,0.029386324107834393
32,97.60,0.0032798118729942404,64,10000,0.9091285576291336,1000,500,0.3264965249715205,0.030843275168342447
33,86.70,0.006658617086712089,64,10000,0.9065719874146181,1000,500,0.19767169507500496,0.04430783041440736
34,149.25,0.0028485758377171863,64,10000,0.9002960075997097,1000,500,0.3840434256119573,0.012609720882801042
35,118.25,0.0015402419572890646,32,100000,0.969475893340258,1000,500,0.43389550948176303,0.032754109399285
36,24.55,0.00550156202605176,128,10000,0.9392860377926074,1000,2000,0.27181364600581315,0.02090946472071884
37,9.50,0.00015819831581946172,32,10000,0.9291537381280199,100,1000,0.3323301800690296,0.03965824768901388
38,459.30,0.0021932197122646988,64,100000,0.9556845883612093,500,500,0.10165619093303092,0.09508443317754636
39,95.70,0.002371962461656352,64,100000,0.9537346048614124,500,500,0.10824842305946288,0.09995020654192253
40,113.55,0.004206497522051518,128,100000,0.9679420058976695,500,500,0.09777835082231806,0.09158122400046485
41,99.60,0.0012481568752721972,64,100000,0.9133467429938558,500,500,0.1646009648541463,0.09482553105470341
42,118.50,0.0004966248417766051,64,100000,0.9510995568243641,500,500,0.3754160148050496,0.08481315920077162
43,123.45,0.000862053586990575,64,100000,0.9568248882168278,500,2000,0.13940064392730983,0.04967982013993528
44,123.20,0.009883073473564602,64,50000,0.9798374938566472,500,500,0.22833529894602547,0.02759803257431404
45,93.50,0.004513523801171696,32,100000,0.9063932547752206,1000,500,0.056660283789139065,0.04085027596977282
46,126.30,0.00235460049749898,64,10000,0.9263400783589306,100,1000,0.29113949284989743,0.015892331758788555
47,116.00,0.00027184453681885855,256,50000,0.9324889200706777,1000,1000,0.19887934403887922,0.03421679583386916
48,171.20,0.00037533531185969033,64,10000,0.9646571176822774,500,2000,0.25844231247650573,0.07887439603923292
49,133.80,0.000136893423365549,64,100000,0.9174792967337829,1000,500,0.08653126084694773,0.06055108643204481
50,169.80,0.0016389097703740094,128,10000,0.9049590562945081,1000,1000,0.15317631201859305,0.02600561813326149
51,74.90,0.00030255094583864683,64,10000,0.920275299282303,1000,1000,0.33039571910587306,0.07125844289689763
52,203.45,0.00018581132651630984,64,10000,0.921001245712568,1000,1000,0.3782497194742833,0.07955282973654913
53,358.60,0.00025388527090577576,64,10000,0.9136832162294619,1000,1000,0.34688970234881616,0.05681442794244415
54,157.80,0.00043588354380747456,64,10000,0.9143129993427461,1000,1000,0.36772464802997573,0.05781378231626433
55,24.90,0.00010086316018639524,64,10000,0.9424500355137813,1000,1000,0.33971383163775126,0.04948772807840087
56,96.90,0.0001820762780952368,64,10000,0.9098487632921003,1000,1000,0.4266348418285249,0.06589972378254208
57,129.80,0.0006083576624860964,256,10000,0.9028528494268767,500,1000,0.31347700320756705,0.09134381353285381
58,9.40,0.000252710629053495,64,10000,0.9487912611658028,100,1000,0.4021528437072198,0.04319422132409329
59,263.55,0.0003666673230603561,32,10000,0.9344200856150321,1000,1000,0.4515854179340288,0.07506872465571458
60,128.90,0.0013170248536313609,64,50000,0.9258945521286635,1000,500,0.3918475380278751,0.054286170940194764
61,193.65,0.00030148407281799987,64,10000,0.9185880661375728,1000,1000,0.3576003040399206,0.06949774005258716
62,138.60,0.00012670287575983736,64,10000,0.9126992851731127,1000,1000,0.2983109287661302,0.06481944953308072
63,165.50,0.0002695872112400996,64,10000,0.9961038708350546,1000,1000,0.3449886174539755,0.058235596158115854
64,101.40,0.0001940766709303693,64,10000,0.9304627315466703,1000,1000,0.31751289559815443,0.03600921397758383
65,176.50,0.0003334625304221016,64,10000,0.9149888131253093,1000,1000,0.3688592056359119,0.08536488119192678
66,200.50,0.0010412558457668065,64,10000,0.9085548741732828,1000,2000,0.24462903784610335,0.05017260197856824
67,104.30,0.0001548257549117639,64,10000,0.9001199749242677,1000,1000,0.27474611948525096,0.06255786425072195
68,159.10,0.0006958321462898912,64,100000,0.9041721502134595,1000,500,0.1204621585929766,0.07177137035471076
69,138.75,0.001957313776877033,128,10000,0.923896561652558,100,1000,0.3495595222507064,0.08184367028524818
70,273.05,0.00040682583905741934,256,10000,0.9112635800128424,500,1000,0.418552677059287,0.0741619143121167
71,126.60,0.0004631908893520309,256,10000,0.9110582224314001,500,1000,0.4161508696629832,0.0741597680872796
72,142.10,0.0004040850953836372,256,10000,0.919914631206788,500,1000,0.4498576912898891,0.08903069110419563
73,196.05,0.0002414198019162065,256,10000,0.9161297428731618,500,1000,0.4789404437827024,0.06729616331381298
74,231.20,0.0005450839785524252,256,10000,0.9081185507523092,500,1000,0.43701581169061243,0.060738142225432085
75,91.85,0.0029856544986565114,64,10000,0.9557936964085346,500,500,0.385648019820906,0.07743012935027319
76,290.05,0.0002814583780261516,256,100000,0.9034902264349303,1000,1000,0.32294285387633276,0.05618968319034556
77,229.00,0.00021589130415469404,256,100000,0.90433688202138,1000,1000,0.2881214486278518,0.05593532331888123
78,97.95,0.0007439430238266243,256,100000,0.906458448151641,500,500,0.3214324728424627,0.09440553921210235
79,159.85,0.000347513878847574,256,100000,0.9120566462569872,1000,2000,0.4100137428059728,0.05213769058901971
80,115.15,0.0009223854097559624,256,100000,0.9024340041626636,1000,1000,0.18226940781717021,0.0468431335287171
81,253.95,0.0003175479050344361,32,100000,0.909724290930464,1000,1000,0.33719459870874186,0.06840493055473514
82,120.10,0.00026577757404213737,64,50000,0.9222113980464895,1000,1000,0.30994050493407327,0.06440041080014869
83,265.70,0.0004065016963404134,64,10000,0.9141989938143095,1000,1000,0.3639988710912189,0.060474341649057205
84,235.05,0.0002846390128863521,256,100000,0.9590447568486777,1000,1000,0.35427606755351104,0.055846933965870274
85,234.30,0.00023437235401737547,64,10000,0.9384248409502886,1000,1000,0.3006713760161038,0.05191802802457055
86,357.05,0.00019600648765912446,64,10000,0.9177659402335909,500,500,0.3950155271423698,0.07273986378478609
87,237.50,0.00016992279860538107,128,10000,0.9055651567199173,500,500,0.3985190983618381,0.09841734458357083
88,166.10,0.00021181132889244684,64,10000,0.9182067716973239,500,500,0.21567862251162945,0.043057395610364604
89,77.50,0.00019323018728043746,64,100000,0.9494604467471606,500,500,0.3798754838303051,0.08090949091816894
90,156.10,0.00047633177640346493,256,10000,0.903136240272068,500,500,0.26176157352191015,0.018388313174242714
91,69.70,0.00014816854898519637,64,10000,0.9262899940017719,500,500,0.0744026767801822,0.07310927642879499
92,178.70,0.0023487696439152546,64,10000,0.9121304122111176,100,1000,0.32721899369277335,0.07621011707878303
93,179.60,0.0014313292205960018,64,10000,0.9164190960769523,1000,500,0.38835393752845015,0.06960004642917002
94,146.25,0.00011331486730462713,64,10000,0.9072644577996938,1000,1000,0.42443977502110763,0.08531158860161812
95,100.70,0.0018937775296640877,64,50000,0.9102898195002169,500,1000,0.3719681670448107,0.07307132055609186
96,269.55,0.0003832193954458457,64,10000,0.9000594650528627,1000,500,0.348976882979964,0.05776579031143515
97,126.35,0.003965731547222554,32,10000,0.972974126584787,1000,2000,0.05000106999653596,0.07740274560515392
98,257.25,0.0002930065259513098,64,10000,0.9198174970754575,1000,1000,0.33906525667498755,0.025327128138289245
99,158.40,0.0002501715593272153,64,100000,0.9145069461846995,500,1000,0.28467119707337596,0.08301228612056233
